,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-6133,OF,5/20/26,TXCLCC029B001,16680,CORTE,1,CX,"CELOVEN, C.A.",BOPP IMPRESO CINTA SEVEN UP/PEPSI,250,160,45,40,20,0,0,0,0,20,0,0,0,30,0,0,0,0,0,315,30,345,0.24,8.70%,"10,000",27,"1,020","10,200",278,5,0,18,0,0,0,21,41,80,282.80,0,0,0,0,0,0,12,0,0,0,17,35,64,"9,800",25.81,"1,020","9,996.0",258,0,0,0,16,16,326.67,28.41,200,2.04%,204.0,2.04%,24.80,9.61%,0.00,0.00,Se culmina sin novedad ,REPETICION,0,1.60,3500,3300.00,CUMPLE,9500,300,0,CELOVEN,BOPP TRANSPARENTE,
01-6146,OF,5/28/26,TXCLCM025A001,16689,CORTE,1,cx,"CELOVEN, C.A.",BOPP IMPRESO CINTA MRW,600,70,0,20,40,0,0,0,20,10,0,0,0,0,0,0,0,0,0,160,153,313,0.22,48.88%,"24,600",22,"1,020","25,092",556,2,0,16,0,0,0,15,,31,561.40,0,,0,0,0,0,2,0,0,0,11,,13,"24,000",21.65,"1,020","24,480.0",530,0,0,0,18,18,156.86,76.68,600,2.50%,612.0,2.50%,31.40,5.92%,0.00,0.00,"dpto de calidad hace prueba de anclaje encontrandose un poco deficiente, notifican a celoven autorizando el arranque",REPETICION,2,0.74,3500,2900.00,CUMPLE,21700,2300,600,CELOVEN,BOPP TRANSPARENTE,
000f,OF,5/29/26,000F,000f,TODAS,0,MCL,FALTA DE PEDIDOS /  INSUMOS ,FALTA DE PEDIDOS /  INSUMOS ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28350,"28,350",0,"28,350",19.69,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,falta de insumo y/o pedido,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.00,0.00%,,,,0,,,,,,,,,,,0.00,,,,,,,,,,,,,0,,0.00,,,,,,0,0,0,0.00,0.00,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
OF= OLYMPIA FINAL,,,,Numeros de trabajos=,,5,,,,"6,510",770,105,95,160,75,0,0,130,50,80,30,100,90,0,0,0,60,"28,350","30,095","1,585","31,680",22.00,5.00%,"157,806.00",,,"119,743","4,467",13,,,,,,,,590,"4,557",0,0,0,0,0,,,,,,,,290,"151,594",0.00,,"115,032","4,279",0,0,0,300,300,95.63,46.93,"6,212",4.10%,"4,711",4.10%,278.08,6.50%,0,0,,,,2.61,21000 Bob,2.61,0.78," 143,700 "," 7,894 ",,,,
OP= OLYMPIA PROCESO,,,,,,,,,,% EFICIENCIA,2.43%,0.33%,0.30%,0.51%,0.24%,0.00%,0.00%,0.41%,0.16%,0.25%,0.09%,0.32%,0.28%,0.00%,0.00%,0.00%,0.19%,89.49%,95.00%,5.00%,31680,22.00,<= Tiempo dedicado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,
Nota: ,,,,,,,,,,Horas,12.83,1.75,1.58,2.67,1.25,0.00,0.00,2.17,0.83,1.33,0.50,1.67,1.50,0.00,0.00,0.00,1.00,472.50,501.58,26.42,528.00,-0,0 Min,,,,,,,,,,,,,,,,,,,,,,,,,,,,Meta,"2,000,000",m/l,,,,,,,,,,,,,,Meta Desperdicio,,8%,,,,,,,,,,,,,,,
EL PROMEDIO DE METROS EN TERMINOS DE EFICIENCIA  POR TURNO EN FUNCION AL TIEMPO DISPONIBLE ES DE,,,,,,,,,2296.88 ML,Dias,0.53,0.07,0.07,0.11,0.05,0.00,0.00,0.09,0.03,0.06,0.02,0.07,0.06,0.00,0.00,0.00,0.04,19.69,20.90,1.10,22.00,DIAS POR TRABAJAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EL PROMEDIO DE METROS EN TERMINOS DE EFICIENCIA  POR TURNO EN FUNCION AL TIEMPO DE TRABAJO ES DE ,,,,,,,,,50531.33 ML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EL PROMEDIO DE HORAS DE PREPARACION UTILIZADAS BASADO EN LA CANTIDAD DE TRABAJOS MONTADOS EN MAQUINA ES DE 2.57 horas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,min,Hrs,Dias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tiempo Total de Parada por Limpieza de Maquina,,,0,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,PROMEDIO DE TIEMPO DE PREPARACION POR TRABAJO =>,,,,,154 Min,,,,,,,suspendidos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Numero de aprobaciones en el mes =>,,,,0,0,,Trabajos suspendidos en el mes =>,,,,0,,,,,,,Tiempo Total de Parada por Produccion,,,"1,260",21.00,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Trabajos Repetidos en el mes =>,,,,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tiempo Total de Parada por Proceso de Apoyo,,,485,8.08,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tiempo Total de Parada por Falta de Pedido,,,"28,350",472.50,19.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Horas TRABAJADAS,,,"1,585",26.42,1.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TOTAL,,"31,680",528,22.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
