PEDIDO,CODIGO DE MAQUINA,FECHA,CODIGO PRODUCTO,O/P,DESTINO,N° DE TRABAJOS,COMPAÑÍA,NOMBRE DEL CLIENTE,PRODUCTO,CLIENTE Kg,TIEMPO DE PARADAS EN MINUTOS,,,,,,,,,,,,,,,,,,TOTAL TIEMPO PARADAS  min.,TIEMPO EFECTIVO PRODUCCION  min.,TOTAL TIEMPO PRODUCCION  min.,DIAS TRABAJADOS,EFICIENCIA DE MAQUINA ,ENTRADA DE MATERIA PRIMA,,,,,,,,,,,,,,,,,SALIDA DE MATERIALES,,,,,,,,,,,,,,,,,,DATOS DE TINTA Kg.,,,VELOCIDAD m/min.,,DESPERDICIO,,,,,,,,OBSERVACIONES,,,,,,,,,,,
,,,,,,,,,,,PREPARACION,PRE-PRENSA,COLORIMETRIA,CALIDAD,MANTENIMIENTO,Limpieza general de Maquina,PLANIFICACION,LIMPIEZA DE PLANCHA,LIMPIEZA DE TAMBOR CENTRAL,LIMPIEZA DE RODILLO,PRODUCCION,PRUEBAS,LOGISTICA,FALLAS ELECT,APROBACIONES,ESTANDAR DE COLOR,RRHH,FALTA DE INSUMO/PEDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PELICULAS,,,,,TINTAS Kg,,,,,,,,,CONSUMO,SOLVENTE Lts,,PELICULA DEVOLUCION,,,TINTAS KG EN DEVOLUCION,,,,,,,,PRODUCTO TERMINADO,,,,,SOLVENTE Lts,,CONSUMO DE TINTA BLANCO,CONSUMO DE TINTA VARIAS,CONSUMO TOTAL,VELOCIDAD DE MAQUINA TEORICA ML/min.,VELOCIDAD DE MAQUINA REAL ML/min.,m/l,,m2,,Kg,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m/l,GRAMAJE g/m2,ANCHO mm,m2,Kg,# COLORES,BLANCO,AZUL REFLEX,MAGENTA,AMARILLO,CYAN,ROJO,OTRAS,TOTAL,,PRODUCCION,LIMPIEZA,m/l,m2,Kg,BLANCO,AZUL REFLEX,MAGENTA,AMARILLO,CYAN,ROJO,OTRAS,TOTAL,m/l,GRAMAJE g/m2,ANCHO mm,m2,Kg,PRODUCCION,LIMPIEZA,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m/l,,,,,,,,,,,,CANT,%,CANT,%,CANT,%,MAT. OBSERVACION,MAT. RECHAZADO,,Aplic Tinta Humeda,Tipo de Trabajo ,nº de pantone,M/L Estandar de Dsp,Metros de Dsp,Cumplimiento,metros op,Cumplimiento,material reciclado,Proveedor,Material
,,,,,,,,,,Trabajos Repetidos en el mes =>,,,,,,, ,,,,,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-6115,NF,5/5/26,TMAPAL121B001,16641,LAMINACION,1,MCL,"ALIMENTOS POLAR COMERCIAL, C.A.",ALUMINIO LAMINADO IMPRESO MAVESA 250 g,"3,590",45,0,35,20,160,0,0,95,15,0,20,0,0,0,0,0,0,0,390,330,720,0.50,45.83%,"36,130",103,1025,"37,033","3,750.00",7,132,20,22,0,0,0,193,367,"3,820.30",0,0,0,0,0.00,40,16,12,0,0,0,126,194," 33,231 ",103.41,"1,025","34,061.8","3,522",0,0,92,81,173,100.70,46.15,"2,899",8.72%,"2,971.5",8.72%,298.00,8.46%,0.00,0.00,"falla de impresión ejemplar lado guia de corte, se limpian en varias ocasiones las raclas",5.08,REPETICION,2,3500,601,0,"34,000",-769,1490,RETANA,ALUMINIO
01-6099,NF,5/5/26,TMASYY121A001,16440,LAMINACION,1,MCL,"ALIMENTOS SERIMAR, C.A.",ALUMINIO LAMINADO IMPRESO YOGURT YOLO ,370,55,0,30,20,200,0,0,20,0,0,75,0,25,0,70,0,0,0,495,30,525,0.36,5.71%,"3,100",103,1025,"3,178",327.00,4,40,0,0,0,0,0,42,0,337.40,0,0,0,0,0,27,0,0,0,0,0,29,56," 3,000 ",103.41,"1,025","3,075.0",318,0,0,13,13,26,100.00,5.71,100,3.33%,102.5,3.33%,19.40,6.10%,0.00,0.00,"Aprobacion, se realizan varios ajustes del color gris, ",8.46,APROBACION,1,3500,"3,400",0,"5,000","-2,000",0,RETANA,ALUMINIO
01-6091,NF,5/5/26,TMCMAL1190004,16643,LAMINACION,1,MCL,"COLOMURAL DE VENEZUELA, C.A",ALUMINIO LAMINADO SIN IMPRESIÓN,"5,000",20,30,0,10,20,0,0,0,0,16,10,0,0,0,0,0,0,0,106,324,430,0.30,75.35%,"41,800",103,1025,"42,845","4,466.50",1,0,0,0,0,0,0,190,190,"4,487.50",0,0,0,0,0.00,0,0,0,0,0,0,120,120," 41,396 ",103.02,"1,025","42,430.9","4,371",0,0,0,70,70,127.77,96.27,404,0.98%,414.1,0.98%,116.30,2.66%,0.00,0.00,se culmina sin novedad,1.65,REPETICION,0,3500,"3,096",CUMPLE,"40,000","1,396",0,RETANA,ALUMINIO
01-6116,NF,5/6/26,TXDNAP065C001,16646,LAMINACION,1,CX,"DISTRIBUIDORA NACIONAL 2000, C.A.",LAMINACION IMPRESA CAFÉ ANZOATEGUI PREMIUN 50g,"1,800",65,15,110,20,0,0,0,60,10,60,15,0,0,0,0,0,0,0,355,176,531,0.37,33.09%,"32,100",18,1000,"32,100",585.00,6,158,0,16,24,0,12,37,247,611.10,0,0,0,0,0.00,128,0,13,10,0,9,20,180," 29,000 ",18.83,"1,000","29,000.0",546.00,0,0,30,37,67,165.15,54.66,"3,100",10.69%,"3,100.0",10.69%,65.10,11.92%,0.00,0.00,"30 kg en el cuadre, 22 kg de dsp por taponamiento de anilox",2.31,REPETICION,1,3500,400,CUMPLE,"29,000",0,820,TELEPLASTIC,BOPP OCTH MATE
01-6096,NF,5/6/26,TMIBIM045A001,16637,LAMINACION,1,MCL,"INDUSTRIAS IBERIA, C.A.",LAMINACIÓN IMPRESA INFUSIÓN MANZANILLA ,500,75,0,20,20,10,0,0,5,0,0,0,0,0,0,0,0,0,0,130,80,210,0.15,38.04%,"16,679",22,940,"15,678",350.00,5,157,0,0,43,0,12,15,227,378.50,0,0,0,0,0.00,112,0,0,27,0,11,12,162," 14,008 ",26.47,940,"13,167.5",348.60,0,0,45,20,65,175.54,66.77,"2,671",19.07%,"2,510.7",19.07%,29.90,8.58%,0.00,0.00,"se sacan varias muestras para ajustar tono, se culmina sin novedad",4.94,REPETICION,2,3500,829,CUMPLE,"14,000",8,800,TELEPLASTIC,BOPP OCTS TRANSPARENTE
01-6093,NF,5/6/26,TMIBIV045A001,16634C1,LAMINACION,1,MCL,"INDUSTRIAS IBERIA, C.A.",LAMINACION IMPRESA INFUSION TE VERDE,400,30,0,15,10,55,0,0,10,0,0,0,0,0,0,0,0,0,0,120,65,185,0.13,35.17%,"10,650",22,940,"10,011",239.00,8,112,25,0,20,0,10,52,219,267.50,0,0,0,0,0.00,76,7,0,18,0,9,38,148," 9,750 ",24.88,940,"9,165.0",228.00,0,0,36,35,71,149.77,52.67,900,9.23%,846.0,9.23%,39.50,17.32%,0.00,0.00,"Diseño combinado,  problemas con el verde trama ocasionada por secado de la tinta, se realiza produccion a 220 m/m ",7.75,REPETICION,4,3500,"2,600",CUMPLE,"9,750",0,0,TELEPLASTIC,BOPP OCTS TRANSPARENTE
01-6095,NF,5/6/26,TMIBVM045A001,16634C1,LAMINACION,1,MCL,"INDUSTRIAS IBERIA, C.A.",LAMINACION IMPRESA INFUSION TE VERDE MENTA ,400,30,0,15,10,210,0,0,0,0,0,0,0,0,0,0,0,0,0,265,65,330,0.23,19.72%,"10,650",22,940,"10,011",239.00,8,76,0,0,18,0,9,46,149,264.50,0,0,0,0,0.00,40,0,0,16,0,8,24,88," 9,750 ",24.88,940,"9,165.0",228.00,0,0,36,25,61,149.77,29.54,900,9.23%,846.0,9.23%,36.50,16.01%,0.00,0.00,"Diseño combinado,  problemas con el verde trama ocasionada por secado de la tinta, se realiza produccion a 220 m/m ",6.66,REPETICION,0,3500,"2,600",CUMPLE,"9,750",0,0,TELEPLASTIC,BOPP OCTS TRANSPARENTE
01-6117,NF,5/6/26,TXDNBC065A001,16645,LAMINACION,0,CX,"DISTRIBUIDORA NACIONAL 2000, C.A.",LAMINACION IMPRESA BUEN CAFÉ PREMIUN 100g,0,80,100,0,20,0,0,0,0,0,0,0,0,30,0,0,0,0,0,230,0,230,0.16,0.00%,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0.00,0,0.0,0.00,0,0,0,0,0,0.00,0.00,0,0.00%,0.0,0.00%,0.00,100.00%,0.00,0.00,se suspende trabajo debido a que habia combinacion de planchas nuevas con planchas viejas lo que genero diferencia de definicion de tramas y tonos,0.00,SUSPENDIDO,0,0,0,#N/A,0,0,0,,
01-6105,NF,5/7/26,TXGOJM030A001,16638C1,CORTE,1,CX,"GRUPO AW ORIENTAL,C.A",ETIQUETA IMPRESA JUSTY MANZANA 400 ML ,"3,000",55,0,0,0,85,0,30,65,20,0,35,0,25,0,90,15,0,0,420,589,"1,009",0.70,58.36%,"116,670",28,1010,"117,837","3,498.00",6,0,0,61,106,39,0,531,737,"3,589.20",0,0,0,0,0.00,0,0,31,53,23,0,326,433," 110,658 ",30.26,"1,010","111,764.6","3,382.00",0,0,0,304,304,188.00,109.71,"6,012",5.43%,"6,072.1",5.43%,207.20,6.13%,0.00,0.00,"Aprobacion, producto combinado, se realiza estandar de color,",2.72,APROBACION,1,3500,"-2,512",NO CUMPLE,"112,800","-2,142",0,TELEPLASTIC,BOPP POCT PERLADO 
01-6106,NF,5/7/26,TXGOJP030A001,16638C1,CORTE,1,CX,"GRUPO AW ORIENTAL,C.A",ETIQUETA IMPRESA JUSTY PERA 400 ML ,"2,000",55,0,0,0,100,0,0,80,20,0,35,0,20,0,90,15,0,0,415,392,807,0.56,48.60%,"77,780",28,1010,"78,558","2,332.00",6,0,0,30,53,16,0,205,304,"2,391.10",0,0,0,0,0.00,0,0,19,17,4,0,67,107," 73,655 ",30.26,"1,010","74,391.6","2,251.10",0,0,0,197,197,187.70,91.22,"4,125",5.60%,"4,166.3",5.60%,140.00,6.22%,0.00,0.00,"Aprobacion, producto combinado, se realiza estandar de color,",2.65,REPETICION,1,3500,-625,NO CUMPLE,"75,200","-1,545",0,TELEPLASTIC,BOPP POCT PERLADO 
